Brand,Range,Fast Charging L3,Mileage,Performance,Seats,Exterior color,Interior color,Charging type,Battery warranty,VIN,Year,Battery size,URL,Title,Price
Hyundai,318 mi,20 minutes,1 mi,225 HP,Up to 5,Lucid Blue,Gray,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA2SY006318,2025,84 kWh,https://ev.com/vehicle/hqmkkv,2025HyundaiIONIQ 5SEL,"$25,515"
Hyundai,318 mi,20 minutes,1 mi,225 HP,Up to 5,Abyss Black,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA5SY014946,2025,84 kWh,https://ev.com/vehicle/rg6uue,2025HyundaiIONIQ 5SEL,"$25,805"
Hyundai,318 mi,20 minutes,1 mi,225 HP,Up to 5,Cyber Gray,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA7SY014897,2025,84 kWh,https://ev.com/vehicle/tof0dc,2025HyundaiIONIQ 5SEL,"$26,100"
Hyundai,318 mi,20 minutes,1 mi,225 HP,Up to 5,Abyss Black,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKR4DA4SY001609,2025,84 kWh,https://ev.com/vehicle/7kmlsj,2025HyundaiIONIQ 5Limited,"$30,475"
Hyundai,318 mi,20 minutes,1 mi,225 HP,Up to 5,Abyss Black,Gray,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKR4DA7SY015665,2025,84 kWh,https://ev.com/vehicle/m6dwzt,2025HyundaiIONIQ 5Limited,"$30,610"
Hyundai,318 mi,20 minutes,1 mi,225 HP,Up to 5,Digital Teal,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKR4DA8SY005730,2025,84 kWh,https://ev.com/vehicle/x92pv9,2025HyundaiIONIQ 5Limited,"$30,215"
Hyundai,318 mi,20 minutes,24 mi,225 HP,Up to 5,Atlas White Matte,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA2SY006268,2025,84 kWh,https://ev.com/vehicle/6p3q9a,2025HyundaiIONIQ 5SEL,"$39,070"
Hyundai,318 mi,20 minutes,33 mi,225 HP,Up to 5,Abyss Black,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA8SY001088,2025,84 kWh,https://ev.com/vehicle/b2afzf,2025HyundaiIONIQ 5SEL,"$39,975"
Hyundai,245 mi,20 minutes,15 mi,168 HP,Up to 5,Gray,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKM4DB9SY014489,2025,63 kWh,https://ev.com/vehicle/f85ha3,2025HyundaiIONIQ 5SE Standard Range,"$26,750"
Hyundai,318 mi,20 minutes,15 mi,225 HP,Up to 5,Black,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKM4DA4SY014925,2025,84 kWh,https://ev.com/vehicle/8l5kup,2025HyundaiIONIQ 5SE,"$30,120"
Hyundai,318 mi,20 minutes,15 mi,225 HP,Up to 5,Blue,Gray,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA4SY015408,2025,84 kWh,https://ev.com/vehicle/myq9jm,2025HyundaiIONIQ 5SEL,"$34,815"
Hyundai,318 mi,20 minutes,15 mi,225 HP,Up to 5,Gray,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA9SY016456,2025,84 kWh,https://ev.com/vehicle/tbajk1,2025HyundaiIONIQ 5SEL,"$35,475"
Hyundai,318 mi,20 minutes,15 mi,225 HP,Up to 5,White,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKR4DA6SY001255,2025,84 kWh,https://ev.com/vehicle/cnoxgo,2025HyundaiIONIQ 5Limited,"$39,400"
Hyundai,318 mi,20 minutes,15 mi,225 HP,Up to 5,Gray,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKR4DA9SY016719,2025,84 kWh,https://ev.com/vehicle/9bo9xz,2025HyundaiIONIQ 5Limited,"$39,835"
Hyundai,305 mi,18 minutes,"5,305 mi",225 HP,Up to 5,Silver,Black,SAE CCS DC fast charge connector,120 month/100000 miles,KMHM54AA2PA029369,2023,77.4 kWh,https://ev.com/vehicle/6co9po,2023HyundaiIONIQ 6Limited,"$21,995"
Hyundai,291 mi,18 minutes,6 mi,225 HP,Up to 5,Blue,Gray,SAE CCS DC fast charge connector,120 month/100000 miles,KMHM34AA2SA095984,2025,77.4 kWh,https://ev.com/vehicle/3fy7ll,2025HyundaiIONIQ 6SEL,"$30,715"
Hyundai,291 mi,18 minutes,5 mi,225 HP,Up to 5,Blue,Gray,SAE CCS DC fast charge connector,120 month/100000 miles,KMHM54AA4SA098671,2025,77.4 kWh,https://ev.com/vehicle/2uq2pz,2025HyundaiIONIQ 6Limited,"$36,695"
Hyundai,291 mi,18 minutes,10 mi,225 HP,Up to 5,Blue,Black,SAE CCS DC fast charge connector,120 month/100000 miles,KMHM34AA1SA099413,2025,77.4 kWh,https://ev.com/vehicle/e7tm5u,2025HyundaiIONIQ 6SEL,"$28,075"
Hyundai,291 mi,18 minutes,10 mi,225 HP,Up to 5,Silver,Black,SAE CCS DC fast charge connector,120 month/100000 miles,KMHM34AA1SA098701,2025,77.4 kWh,https://ev.com/vehicle/cc9lp6,2025HyundaiIONIQ 6SEL,"$28,310"
Hyundai,291 mi,18 minutes,10 mi,225 HP,Up to 5,Black,Black,SAE CCS DC fast charge connector,120 month/100000 miles,KMHM34AA2SA098416,2025,77.4 kWh,https://ev.com/vehicle/x6eyhp,2025HyundaiIONIQ 6SEL,"$28,310"
Hyundai,291 mi,18 minutes,6 mi,225 HP,Up to 5,White,Gray,SAE CCS DC fast charge connector,120 month/100000 miles,KMHM34AA9SA099269,2025,77.4 kWh,https://ev.com/vehicle/n9efb7,2025HyundaiIONIQ 6SEL,"$29,225"
Hyundai,291 mi,18 minutes,10 mi,225 HP,Up to 5,Blue,Gray,SAE CCS DC fast charge connector,120 month/100000 miles,KMHM34AA1SA099427,2025,77.4 kWh,https://ev.com/vehicle/93fxg8,2025HyundaiIONIQ 6SEL,"$28,075"
Hyundai,291 mi,18 minutes,10 mi,225 HP,Up to 5,White,Black,SAE CCS DC fast charge connector,120 month/100000 miles,KMHM34AA2SA099310,2025,77.4 kWh,https://ev.com/vehicle/r5qt6t,2025HyundaiIONIQ 6SEL,"$28,575"
Hyundai,291 mi,18 minutes,10 mi,225 HP,Up to 5,White,Black,SAE CCS DC fast charge connector,120 month/100000 miles,KMHM34AA7SA098864,2025,77.4 kWh,https://ev.com/vehicle/j7r89b,2025HyundaiIONIQ 6SEL,"$28,825"
Hyundai,291 mi,18 minutes,10 mi,225 HP,Up to 5,Blue,Black,SAE CCS DC fast charge connector,120 month/100000 miles,KMHM34AAXSA099409,2025,77.4 kWh,https://ev.com/vehicle/o8lp73,2025HyundaiIONIQ 6SEL,"$28,075"
Hyundai,33 mi,N/A,"2,587 mi",180 HP,Up to 5,Gray,Black,N/A,120 month/100000 miles,KM8JFDD20RU240897,2024,13.8 kWh,https://ev.com/vehicle/h8lmkc,2024HyundaiTucson Plug-In HybridLimited,"$38,550"
Hyundai,33 mi,N/A,587 mi,180 HP,Up to 5,Gray,Black,N/A,120 month/100000 miles,KM8JFDD28RU250058,2024,13.8 kWh,https://ev.com/vehicle/wsfj2b,2024HyundaiTucson Plug-In HybridLimited,"$39,060"
Hyundai,33 mi,N/A,1 mi,178 HP,Up to 5,Amazon Gray Metallic,Black,N/A,120 month/100000 miles,KM8JBDD20SU248712,2025,13.8 kWh,https://ev.com/vehicle/vusbvz,2025HyundaiTucson Plug-In HybridSEL,"$37,074"
Hyundai,303 mi,18 minutes,11 mi,225 HP,Up to 5,Blue,Black,SAE CCS DC fast charge connector,120 month/100000 miles,KM8KR4DE6RU342095,2024,77.4 kWh,https://ev.com/vehicle/0bggrk,2024HyundaiIONIQ 5Limited,"$33,205"
Hyundai,318 mi,20 minutes,11 mi,225 HP,Up to 5,White,Gray,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKM4DA0SY004215,2025,84 kWh,https://ev.com/vehicle/a4cmc6,2025HyundaiIONIQ 5SE,"$24,120"
Hyundai,318 mi,20 minutes,9 mi,225 HP,Up to 5,White,Gray,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKM4DA8SY008416,2025,84 kWh,https://ev.com/vehicle/5d2cf1,2025HyundaiIONIQ 5SE,"$24,135"
Hyundai,318 mi,20 minutes,15 mi,225 HP,Up to 5,Black,Gray,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKM4DA2SY010243,2025,84 kWh,https://ev.com/vehicle/uexg6o,2025HyundaiIONIQ 5SE,"$24,320"
Hyundai,318 mi,20 minutes,6 mi,225 HP,Up to 5,Gray,Gray,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA1SY008450,2025,84 kWh,https://ev.com/vehicle/1nq5pr,2025HyundaiIONIQ 5SEL,"$26,015"
Hyundai,318 mi,20 minutes,39 mi,225 HP,Up to 5,Black,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA4SY001024,2025,84 kWh,https://ev.com/vehicle/tj1p0d,2025HyundaiIONIQ 5SEL,"$25,570"
Hyundai,259 mi,20 minutes,18 mi,320 HP,Up to 5,Gray,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKPDDC0SY010167,2025,84 kWh,https://ev.com/vehicle/abciim,2025HyundaiIONIQ 5XRT,"$31,990"
Hyundai,318 mi,20 minutes,11 mi,225 HP,Up to 5,Gray,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA2SY011583,2025,84 kWh,https://ev.com/vehicle/a1qzc7,2025HyundaiIONIQ 5SEL,"$26,080"
Hyundai,318 mi,20 minutes,13 mi,225 HP,Up to 5,Blue,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA7SY011398,2025,84 kWh,https://ev.com/vehicle/p0odc0,2025HyundaiIONIQ 5SEL,"$25,710"
Hyundai,318 mi,20 minutes,10 mi,225 HP,Up to 5,Blue,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DAXSY011640,2025,84 kWh,https://ev.com/vehicle/1msruz,2025HyundaiIONIQ 5SEL,"$27,275"
Hyundai,318 mi,20 minutes,12 mi,225 HP,Up to 5,Gray,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKM4DA5SY004470,2025,84 kWh,https://ev.com/vehicle/jfwl84,2025HyundaiIONIQ 5SE,"$23,140"
Hyundai,318 mi,20 minutes,12 mi,225 HP,Up to 5,White,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA4SY011620,2025,84 kWh,https://ev.com/vehicle/c1ezm2,2025HyundaiIONIQ 5SEL,"$25,580"
Hyundai,318 mi,20 minutes,6 mi,225 HP,Up to 5,Gray,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA2SY010966,2025,84 kWh,https://ev.com/vehicle/atma8q,2025HyundaiIONIQ 5SEL,"$26,710"
Hyundai,318 mi,20 minutes,6 mi,225 HP,Up to 5,White,Gray,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKM4DA0SY016008,2025,84 kWh,https://ev.com/vehicle/beguke,2025HyundaiIONIQ 5SE,"$22,680"
Hyundai,318 mi,20 minutes,6 mi,225 HP,Up to 5,Gray,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKM4DA4SY015055,2025,84 kWh,https://ev.com/vehicle/te7wxw,2025HyundaiIONIQ 5SE,"$23,120"
Hyundai,318 mi,20 minutes,6 mi,225 HP,Up to 5,Green,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA3SY015318,2025,84 kWh,https://ev.com/vehicle/qyfhq7,2025HyundaiIONIQ 5SEL,"$25,805"
Hyundai,318 mi,20 minutes,6 mi,225 HP,Up to 5,Black,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA3SY015884,2025,84 kWh,https://ev.com/vehicle/dzdep7,2025HyundaiIONIQ 5SEL,"$25,250"
Hyundai,318 mi,20 minutes,6 mi,225 HP,Up to 5,White,Gray,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA3SY016100,2025,84 kWh,https://ev.com/vehicle/5xtcii,2025HyundaiIONIQ 5SEL,"$25,250"
Hyundai,318 mi,20 minutes,6 mi,225 HP,Up to 5,Gray,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA4SY014551,2025,84 kWh,https://ev.com/vehicle/nx042w,2025HyundaiIONIQ 5SEL,"$26,145"
Hyundai,318 mi,20 minutes,6 mi,225 HP,Up to 5,Gray,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA5SY012307,2025,84 kWh,https://ev.com/vehicle/r7ffba,2025HyundaiIONIQ 5SEL,"$26,210"
Hyundai,318 mi,20 minutes,6 mi,225 HP,Up to 5,Black,Gray,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA9SY001469,2025,84 kWh,https://ev.com/vehicle/7e3qds,2025HyundaiIONIQ 5SEL,"$25,910"
Hyundai,318 mi,20 minutes,6 mi,225 HP,Up to 5,White,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA9SY011371,2025,84 kWh,https://ev.com/vehicle/5xjqr8,2025HyundaiIONIQ 5SEL,"$25,710"
Hyundai,318 mi,20 minutes,6 mi,225 HP,Up to 5,Gray,Gray,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKN4DA9SY011595,2025,84 kWh,https://ev.com/vehicle/bq1j2p,2025HyundaiIONIQ 5SEL,"$26,210"
Hyundai,259 mi,20 minutes,6 mi,320 HP,Up to 5,Gray,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKPDDC1SY016155,2025,84 kWh,https://ev.com/vehicle/4x9fyo,2025HyundaiIONIQ 5XRT,"$32,040"
Hyundai,318 mi,20 minutes,6 mi,225 HP,Up to 5,White,Dark Green,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKR4DA2SY009675,2025,84 kWh,https://ev.com/vehicle/k871lw,2025HyundaiIONIQ 5Limited,"$30,345"
Hyundai,318 mi,20 minutes,6 mi,225 HP,Up to 5,Blue,Black,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKR4DA3SY015386,2025,84 kWh,https://ev.com/vehicle/jnalxq,2025HyundaiIONIQ 5Limited,"$30,390"
Hyundai,318 mi,20 minutes,6 mi,225 HP,Up to 5,Black,Dark Green,NACS (J3400) DC fast charge connector,120 month/100000 miles,7YAKR4DA5SY010061,2025,84 kWh,https://ev.com/vehicle/5exezg,2025HyundaiIONIQ 5Limited,"$30,630"
