name,score,price,url,battery_size,max_dc_charge,miles_per_kwh,range,MilesPerDollar,RangePerKWh,ScoreBucket
Renault Zoe Review,6,31195,https://www.electrifying.com/reviews/renault/zoe/,52,22,4.6,238,0.007629427792915531,4.576923076923077,5-6
Renault Twizy Review,6,70860,https://www.electrifying.com/reviews/renault/twizy/,73,2,8.4,56,0.0007902907140841095,0.7671232876712328,5-6
Renault Kangoo ZE Review,7,24163,https://www.electrifying.com/reviews/renault/kangoo-ze/,33,7,4.4,143,0.005918139303894384,4.333333333333333,7-8
Peugeot E-208 Review,7,28600,https://www.electrifying.com/reviews/peugeot/e208/,51,100,5.2,248,0.008671328671328672,4.862745098039215,7-8
Tesla Model S Review,9,79980,https://www.electrifying.com/reviews/tesla/model-s/,100,250,3.8,405,0.005063765941485371,4.05,9-10
Kia Soul EV Review,7,32795,https://www.electrifying.com/reviews/kia/soul-ev/,51,80,4.4,280,0.008537886872998933,5.490196078431373,7-8
Jaguar I-Pace Review,9,66350,https://www.electrifying.com/reviews/jaguar/i-pace/,73,104,3.2,292,0.004400904295403165,4.0,9-10
Tesla Model X Review,9,86200,https://www.electrifying.com/reviews/tesla/model-x/,100,250,3.5,348,0.004037122969837587,3.48,9-10
Vauxhall Corsa Electric Review,7,32445,https://www.electrifying.com/reviews/vauxhall/corsa-e/,50,100,4.6,246,0.0075820619509939895,4.92,7-8
Volkswagen ID.3 Review,8,35700,https://www.electrifying.com/reviews/volkswagen/id-3/,67,170,4.4,346,0.00969187675070028,5.164179104477612,7-8
Hyundai Kona Electric Review,9,34995,https://www.electrifying.com/reviews/hyundai/kona-ev/,56,101,4.9,321,0.00917273896270896,5.732142857142857,9-10
Nissan Leaf Review,7,28440,https://www.electrifying.com/reviews/nissan/leaf/,39,50,3.8,168,0.00590717299578059,4.3076923076923075,7-8
